UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage,PUI,LUI,EUI,EAL
475.0,573.0,17.55,14.26,100.0,0.8499,76960000,4.36,5259,3044,76.93,210100,12870,41.96,2022,45372956.8271456,2325.02,414.819510560672,19.970444116,424.673931348754,30.2137057008,249351.0,611478.0,99.5,0.8499,0.18065423465423466,0.9564,19.970444116
361.6,444.04,18.83,13.81,100.0,0.862903225806451,84310000,6.68,2987,6197,90.85,210200,13247,45.89,2022,51766305.1962612,2579.32,586.548355642002,18.3423657779,359.067254008093,25.6440337508,149017.0,607278.0,97.32,0.862903225806451,0.194709745602778,0.9332,18.3423657779
125.24,178.55,22.71,13.84,100.0,0.535,18630000,6.53,1395,21301,34.55,210300,9253,41.31,2022,99539049.0763518,1138.46,532.37586463369,14.2150792795,270.661948024509,27.8452520649,6437.0,24660.0,97.0,0.535,0.1230368529125689,0.9347,14.2150792795
109.82,123.18,15.4,11.02,100.0,0.7873,9280000,6.68,2489,7042,30.72,210400,11275,36.1,2022,24336809.0894575,504.47,624.983307408925,8.77256990679,128.821141913816,25.8040223899,3204.0,881449.0,89.45,0.7873,0.04474235033259424,0.9332,8.77256990679
84.92,109.0,23.98,10.99,100.0,0.7056,9310000,6.35,2581,14486,44.0,210500,8414,49.94,2022,29037365.2889555,351.76,622.77593987726,8.65370018975,138.975076923077,24.5658114836,1895.0,110100.0,99.11,0.7056,0.04180651295459947,0.9365,8.65370018975
63.19,75.03,17.89,12.54,100.0,0.6947,8910000,20.75,621,2486,12.07,210600,14670,40.42,2022,14055133.4692302,721.94,599.032123996839,7.73978450905,114.586435761065,23.7648369489,4924.0,320508.0,91.4,0.6947,0.04921199727334697,0.7925,7.73978450905
94.58,77.1,9.88,13.56,100.0,0.426,12020000,18.87,1872,6035,82.27,210700,9997,39.56,2022,19122652.7042721,1444.52,452.243928537613,13.3262397308,214.794799947869,27.8809351545,24403.0,603498.0,100.0,0.426,0.14449534860458138,0.8113,13.3262397308
77.57,180.07,34.99,12.87,100.0,0.6776,14320000,8.84,2313,20081,96.07,210800,5331,41.2,2022,35992782.9894288,947.01,552.696890835161,19.3040552828,317.720004942543,28.4761270544,9784.0,371244.0,92.59,0.6776,0.17764209341586945,0.9116,19.3040552828
71.42,76.5,12.9,12.74,100.0,0.4235,5780000,22.23,746,3530,44.84,210900,10324,44.44,2022,12450904.6783687,941.51,434.692447379281,10.4903557236,118.139175891759,25.2633573312,5691.0,-169292.0,100.0,0.4235,0.09119624176675707,0.7777000000000001,10.4903557236
70.68,102.44,20.65,12.52,100.0,0.6771,8920000,11.2,3791,11326,28.62,211000,4732,44.82,2022,38991033.4225541,729.67,503.70818125897,17.8962664404,271.116349184596,30.8734087934,1662.0,659387.0,100.0,0.6771,0.1541990701606086,0.888,17.8962664404
74.31,106.89,21.97,13.63,100.0,0.78,13940000,7.88,2973,1572,84.02,211100,3661,43.94,2022,11556236.465072,788.89,414.718756390002,22.240188383,266.716543919526,29.1173033896,20783.0,13425.0,100.0,0.78,0.21548484020759354,0.9212,22.240188383
36.5,70.32,13.12,12.98,100.0,0.56,7540000,24.27,1376,4039,53.8,211200,12981,39.61,2022,28153257.9105269,931.72,495.98436969239,11.6892994611,140.452856025039,28.7447316817,6084.0,393390.0,100.0,0.56,0.07177567213619906,0.7573,11.6892994611
48.37,61.64,13.0,13.73,100.0,0.511,9950000,24.38,338,15230,66.8,211300,19700,34.64,2022,27151995.2701411,1432.02,472.228399203431,10.4546607804,105.106170984287,24.7478937343,2875.0,14471.0,99.95,0.511,0.07269137055837563,0.7562,10.4546607804
