UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage
88.2,77.1,11.58,12.75,87.44,0.5381,13639990,14.78,3353,47706,93.13,210700,9997,57.34,2014,17025636.0921023,1386.25,322.831517313216,3.47962320278,207.116650374715,59.0919787904,25753.0,246770.0,61.82
91.5,109.55,7.17,10.18,77.78,0.6725,15460811,7.15,2795,96396,86.37,210800,5331,39.41,2014,35627062.3058266,890.41,415.786286681716,11.5306642402,306.116520449771,55.6609181652,10696.0,160876.0,98.2
77.46,76.5,6.6,12.39,99.55,0.449,6061578,19.72,4217,37983,85.84,210900,10324,45.68,2014,11609940.896123,851.15,321.532899003595,1.91734496124,113.65098400984,53.150355048,4332.0,-16492.0,87.5
74.65,104.35,16.76,10.58,100.0,0.632,10146163,6.58,6625,46674,16.0,211000,4732,42.05,2014,34390412.1086927,685.64,355.096308449551,12.0347826087,262.193915307661,59.8638095047,21674.0,265091.0,100.0
64.29,73.0,13.33,12.76,100.0,0.8003,13039536,8.79,4418,15830,92.47,211100,3661,41.51,2014,10810797.8150855,737.44,315.203706130089,14.9153383852,255.159152146578,58.8031181476,19896.0,12985.0,100.0
40.22,57.0,14.02,11.95,100.0,0.4258,8672909,23.89,1208,20211,65.91,211200,12981,45.04,2014,28639330.6588888,880.12,425.912042280104,2.52492872004,135.018730438185,53.8155606852,28469.0,164414.0,100.0
57.8,50.0,6.64,9.24,100.0,0.3844,9935232,21.61,727,85332,70.03,211300,19700,26.32,2014,23312063.0646985,1287.96,353.599342820813,1.89121933878,101.044983829342,51.0344219167,17341.0,16783.0,94.9
47.96,85.2,11.54,14.92,86.0,0.316,7215505,13.18,2530,37679,55.9,211400,10327,42.09,2014,17634079.4191973,966.0,377.499510921751,3.48824251582,168.553141626552,56.3271717888,23000.0,441874.0,91.7
318.52,469.72,19.19,13.81,98.4,0.485,53424262,6.21,5564,70944,99.92,220100,20557,38.82,2014,43255618.9347273,1956.61,389.235387115465,4.8476433018,222.380837158252,56.1989996104,70087.0,116537.0,90.0
126.16,172.31,10.74,12.04,56.2,0.4851,23795605,10.4,10491,67645,85.7,220200,27716,39.13,2014,37277006.4453796,770.36,574.296244344897,1.87134967332,101.175860517435,48.2712248417,56610.0,225829.0,91.92
58.0,54.2,20.94,8.89,31.48,0.4447,12103150,24.12,3225,59745,93.2,220300,14414,50.18,2014,15478834.3590643,642.78,383.256364615431,2.21471134121,142.126907874734,53.1359500828,9359.0,20010.0,87.21
44.3,51.46,8.57,11.52,21.3,0.5236,10084958,8.76,10145,42105,85.5,220500,15559,37.44,2014,13501609.7697947,390.89,576.743924431087,1.18436976954,96.9493147883003,45.8517130681,48658.0,34424.0,89.94
36.61,46.89,10.46,10.26,5.49,0.6938,6752889,8.87,1526,23603,52.4,220600,17434,29.07,2014,9659282.17209431,184.31,663.059800687526,0.728608321377,48.1921725122648,40.9008635188,14574.0,36679.0,70.76
45.72,48.8,17.98,17.54,95.75,0.2703,15962932,16.58,2174,31607,92.4,220700,21160,35.66,2014,10689975.7692582,1517.17,312.217841461617,1.3295717456,84.6314541775079,50.4381411025,2488.0,-2037.0,95.88
28.01,49.2,11.23,12.9,77.48,0.3991,6861811,16.71,1885,11919,94.16,220800,25756,27.41,2014,11990103.9560041,2183.4,256.675616388686,0.645420335958,48.6136657650241,43.1657477402,8468.0,12304.0,79.93
404.23,400.58,14.22,10.41,86.0,0.4875,53400715,11.73,5188,130401,98.07,230100,53076,35.46,2014,40740239.6509059,2137.51,505.221681553803,2.28040394144,122.390975571102,49.7209897618,100276.0,34688.0,89.3
108.5,139.63,9.03,10.02,57.08,0.355,12093360,23.98,5689,3521,83.0,230200,42259,45.01,2014,22920684.9880277,2089.6,370.736653789948,1.03774254614,74.8145255224392,38.2910272226,12913.0,5478.0,64.6
71.39,79.23,8.96,10.71,85.0,0.6407,5160088,34.38,2008,37718,90.1,230300,22466,40.24,2014,8951832.93933234,533.6,476.315531850399,0.822413716519,50.7474536292484,41.8028308306,4930.0,17854.0,50.0
113.08,244.79,22.79,14.2,90.43,0.521,40775057,4.7,3835,31979,95.48,230600,21193,45.36,2014,23650778.9372575,2840.85,317.947190146268,4.7409522012,82.4973829316763,44.0141246852,8309.0,47504.0,93.03
75.7,167.37,11.29,20.51,100.0,0.8697,2560255,41.61,1105,18890,84.0,230700,32792,1.02,2014,8857700.59564227,317.67,544.745326986411,0.369914738124,20.5792236156122,34.9060078121,4182.0,1610.0,85.0
59.9,96.98,9.5,14.02,92.11,0.5057,7659799,32.52,1122,40605,81.51,230800,32702,41.56,2014,14730454.168565,825.71,407.15378406583,1.4007064967,46.3758996981658,41.1915264547,3379.0,8145.0,66.92
37.1,71.73,11.88,11.84,100.0,0.5882,2142590,14.58,1554,19609,88.7,230900,6189,38.51,2014,11922837.6625776,218.24,479.757906521132,2.61997808619,90.4499468033659,41.9687420634,2160.0,9513.0,62.5
71.29,81.4,13.63,11.24,98.0,0.553,12640168,16.12,1276,53563,61.0,231000,38796,37.81,2014,12124711.4552318,647.89,605.030626528308,0.730848487971,44.9199854777352,40.5397860008,17817.0,-5189.0,22.31
13.68,20.0,12.35,13.45,100.0,0.4207,4213621,48.06,1473,12614,93.52,231100,66870,30.84,2014,5413726.89557658,679.64,494.543056352605,0.284494361858,14.2932567835648,33.1565363865,8179.0,46723.0,74.18
33.8,37.0,7.2,8.69,100.0,0.2659,11902452,39.85,8777,12252,100.0,231200,34905,31.8,2014,9458748.88169674,1720.76,398.988418858441,1.2666246093,93.1208605921629,47.5784496675,8315.0,627.0,100.0
2425.68,998.75,4.11,7.33,95.0,0.8957,235677000,0.53,43939,131433,97.51,310000,8059,38.4,2014,186258094.737437,2416.67,559.235447901978,43.4285714286,2671.05489614243,51.7202352996,2622913.0,210749.0,89.8
572.65,734.34,22.17,14.98,92.2,0.8092,88207500,2.43,21561,96177,91.9,320100,6586,44.16,2014,109815994.920545,1294.48,502.158797339058,26.9457164519,898.4537722302,68.4440745937,447152.0,1052732.0,65.4
199.18,327.62,25.23,14.81,100.0,0.7447,82053100,1.68,21551,97461,91.1,320200,4625,42.85,2014,54058070.6932437,1207.03,497.378052805281,38.0085415332,1039.13348307396,63.9048575424,354743.0,223255.0,87.1
165.37,255.2,25.31,16.21,88.8,0.5946,49639100,9.54,10774,69201,99.0,320300,11146,43.29,2014,137118421.065853,2719.26,492.179518787639,11.6538219707,549.929098128191,77.1612282694,174827.0,570715.0,86.5
130.19,203.8,25.52,13.21,100.0,0.687,49018700,2.82,11909,115086,98.2,320400,4371,42.92,2014,68553984.5783173,843.31,501.611659519377,26.8282573849,783.905263157895,64.0105261224,217044.0,82854.0,89.1
253.13,447.29,28.13,15.2,100.0,0.7395,137608900,1.48,61438,75947,96.7,320500,8664,42.21,2014,177022663.886444,2054.73,455.603719082867,42.0533333333,943.989030589494,60.1542837385,757988.0,-1000455.0,79.6
113.34,189.86,29.24,16.76,100.0,0.6115,56526900,6.01,15809,41362,98.3,320600,9484,42.55,2014,48000305.8170339,1239.26,618.034258892928,19.043094707,628.6138832315,55.9133992368,217879.0,357413.0,86.2
78.95,160.0,21.4,14.15,95.2,0.5713,19658900,13.33,6204,41368,93.7,320700,7450,40.01,2014,46299552.4289278,1499.67,532.167877043937,11.0077939234,425.376503149456,66.9970122447,100369.0,20612.0,70.1
124.05,150.0,20.9,13.83,90.3,0.5646,24553900,11.69,7989,27494,99.5,320800,10033,40.92,2014,29057399.17369,1248.84,579.045436493346,6.64783689707,348.674292250501,66.6670449106,106174.0,163970.0,77.6
105.18,110.67,20.08,11.97,100.0,0.5854,38356200,12.76,17472,52532,93.9,320900,15492,40.4,2014,32740141.6855958,1813.46,624.128869239706,6.95220565296,357.69142497458,57.0105241495,236313.0,-5594.0,75.6
103.12,135.6,21.69,18.01,99.0,0.612,36979100,6.15,8790,16004,92.3,321000,6587,43.49,2014,28201952.017175,913.13,568.534284631216,14.832749962,496.585539269306,66.0792435414,113031.0,324247.0,84.4
79.56,134.0,24.19,18.69,100.0,0.6663,32524400,3.73,9085,26473,98.6,321100,3842,42.48,2014,75424508.4311137,637.1,534.362157922259,27.1262415055,600.201591511936,66.0064945429,118714.0,392038.0,79.9
82.09,99.35,24.3,9.47,100.0,0.6015,33708900,6.21,7376,22240,98.3,321200,5789,40.81,2014,41511368.0501013,847.12,534.382013735173,19.0687510796,594.569039777046,64.7086228723,76515.0,95000.0,63.4
63.4,78.53,27.68,13.81,79.1,0.5374,19306800,12.76,4930,39136,94.0,321300,8525,42.08,2014,22692181.4662807,1373.1,554.156678096513,7.38830848691,401.730486378071,70.1027251118,98220.0,39582.0,83.0
284.84,469.95,14.78,15.5,100.0,0.751,92061633,2.98,35370,70346,91.1,330100,16847,40.47,2014,63570526.0027736,1392.18,669.875960791924,11.8589204242,394.415422440769,50.9723496171,524082.0,137928.0,93.87
149.12,308.56,15.84,10.64,100.0,0.703,76102816,3.62,16546,30577,90.76,330200,9546,38.22,2014,86753116.0668386,1462.69,725.914858170197,23.7898242904,661.092174211837,43.7207091901,428212.0,762556.0,81.11
137.81,215.4,15.16,12.99,99.77,0.672,43030460,2.74,6020,18390,98.15,330300,11598,38.32,2014,38164969.053626,778.4,820.331154045202,11.875803172,617.38294884654,39.6625864471,113033.0,96361.0,87.25
